top - 20:23:23 up  3:15,  2 users,  load average: 35.26, 39.98, 31.77
Tasks: 493 total,   1 running, 492 sleeping,   0 stopped,   0 zombie
Cpu(s): 10.9%us,  0.6%sy,  0.1%ni, 87.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.3%st
Mem:  61722916k total, 40832272k used, 20890644k free,   110072k buffers
Swap:        0k total,        0k used,        0k free, 22224360k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
21453 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:49.09 java               
21461 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:54.49 java               
21474 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:40.62 java               
21478 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:37.15 java               
21526 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:29.81 java               
21528 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:27.65 java               
21544 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:26.33 java               
21547 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:26.54 java               
21551 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:27.99 java               
21562 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:22.31 java               
21564 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:20.85 java               
21570 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:22.78 java               
21579 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:22.53 java               
21582 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:20.22 java               
21601 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:45.39 java               
21605 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:12.80 java               
21614 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:59.17 java               
21617 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:18.58 java               
21626 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   2:20.44 java               
21630 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:29.59 java               
21661 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:22.33 java               
21683 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   0:19.73 java               
21702 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   0:09.50 java               
21706 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:23.94 java               
19666 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.92 java               
19668 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.90 java               
19670 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.58 java               
19675 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:04.02 java               
19676 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.94 java               
19677 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.88 java               
19678 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.93 java               
19681 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:04.03 java               
19682 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.98 java               
19683 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.97 java               
19684 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.98 java               
19685 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:04.02 java               
19686 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:04.05 java               
19687 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:03.80 java               
19816 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   6:45.42 java               
19817 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   6:29.92 java               
20979 cassandr  20   0 36.5g  33g  17g S  5.8 56.8  14:17.14 java               
20983 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:30.42 java               
21286 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   5:24.55 java               
21287 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   4:48.74 java               
21294 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   5:18.67 java               
21388 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   4:00.30 java               
21392 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   4:04.31 java               
21395 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:51.80 java               
21398 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   4:05.34 java               
21429 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:31.45 java               
21435 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:01.61 java               
21436 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:01.86 java               
21441 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:28.36 java               
21445 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:21.30 java               
21448 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:21.02 java               
21451 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:33.99 java               
21456 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:54.98 java               
21457 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   3:03.91 java               
21460 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:54.82 java               
21463 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:48.94 java               
21519 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:35.41 java               
21520 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:33.20 java               
21523 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:30.98 java               
